受付番号,トラブル内容,手配区分
SO-2503-30012,バッテリー,ジャンピング
SO-2503-30022,エンスト,レッカー
SO-2503-30090,事故,レッカー
SO-2503-30264,エンジン不始動,その他（故障）
SO-2503-30317,事故,レッカー
SO-2503-30325,バッテリー,ジャンピング
SO-2503-30326,パンク,レッカー
SO-2503-30333,その他,レッカー
SO-2503-30377,その他,レッカー
SO-2503-30387,事故,レッカー
SO-2503-30403,エンスト,レッカー
SO-2503-30443,パンク,レッカー
SO-2503-30458,インロック,インロック（ドア）
SO-2503-30578,その他,レッカー
SO-2503-30583,パンク,レッカー
SO-2503-30600,バッテリー,バッテリー販売
SO-2503-30619,パンク,レッカー
SO-2503-30638,インロック,インロック（ドア）
SO-2503-30639,パンク,レッカー
SO-2503-30658,パンク,レッカー
SO-2503-30794,その他,レッカー
SO-2503-30812,事故,レッカー
SO-2503-30839,事故,その他（事故）
SO-2503-30891,パンク,タイヤ貸し出し
SO-2503-30895,その他,レッカー
SO-2503-31085,エンスト,レッカー
SO-2503-31112,事故,レッカー
SO-2503-31156,その他,レッカー
SO-2503-31179,バッテリー,ジャンピング
SO-2503-31237,スタック,スタック（無料）
SO-2503-31361,パンク,レッカー
SO-2503-31372,エンジン不始動,レッカー
SO-2503-31382,エンジン不始動,ジャンピング
SO-2503-31407,事故,レッカー
SO-2503-31428,その他,レッカー
SO-2503-31429,バッテリー,ジャンピング
SO-2503-31497,事故,"横転・転覆・落車,レッカー"
SO-2503-31511,事故,レッカー
SO-2503-31513,その他,レッカー
SO-2503-31541,バッテリー,ジャンピング
SO-2503-31598,その他,レッカー
SO-2503-31618,その他,レッカー
SO-2503-31640,その他,レッカー
SO-2503-31646,バッテリー,ジャンピング
SO-2503-31661,エンジン不始動,ジャンピング
SO-2503-31668,インロック,インロック（ドア）
SO-2503-31694,パンク,レッカー
SO-2503-31699,パンク,"スペア交換（事故）,レッカー"
SO-2503-31710,事故,レッカー
SO-2503-31728,パンク,スペア交換（事故）
SO-2503-31738,パンク,レッカー
SO-2503-31822,ガス欠,ガソリン配達（継続契約）
SO-2503-31834,バッテリー,ジャンピング
SO-2503-31870,パンク,レッカー
SO-2503-31908,事故,レッカー
SO-2503-31976,事故,"レッカー,追衝突の引き出し"
SO-2503-31980,バッテリー,ジャンピング
SO-2503-32013,パンク,レッカー
SO-2503-32123,ガス欠,ガソリン配達（新規契約）
SO-2503-32141,パンク,レッカー
SO-2503-32142,ガス欠,ガソリン配達（継続契約）
SO-2503-32199,スタック,スタック（無料）
SO-2503-32223,インロック,インロック（ドア）
SO-2503-32266,パンク,レッカー
SO-2503-32269,エンジン不始動,"レッカー,その他（故障）"
SO-2503-32370,スタック,スタック（無料）
SO-2503-32425,パンク,レッカー
SO-2503-32430,エンジン不始動,レッカー
SO-2503-32442,パンク,レッカー
SO-2503-32477,スタック,スタック（無料）
SO-2503-32550,その他,レッカー
SO-2503-32602,バッテリー,ジャンピング
SO-2503-32606,エンスト,レッカー
SO-2503-32607,事故,レッカー
SO-2503-32608,バッテリー,ジャンピング
SO-2503-32633,事故,レッカー
SO-2503-32634,バッテリー,ジャンピング
SO-2503-32637,パンク,レッカー
SO-2503-32654,パンク,レッカー
SO-2503-32675,事故,レッカー
SO-2503-32817,パンク,エア補充
SO-2503-32819,脱輪,脱輪・乗り上げ2本超
SO-2503-32833,その他,レッカー
SO-2503-33004,パンク,パンク修理
SO-2503-33010,その他,レッカー
SO-2503-33014,脱輪,"脱輪・乗り上げ1本,レッカー"
SO-2503-33048,エンジン不始動,レッカー
SO-2503-33073,その他,レッカー
SO-2503-33160,パンク,レッカー
SO-2503-33313,事故,脱輪・乗り上げ1本
SO-2503-33320,バッテリー,ジャンピング
SO-2503-33357,事故,追衝突の引き出し
SO-2503-33383,その他,レッカー
SO-2503-33499,事故,レッカー
SO-2503-33506,オーバーヒート,レッカー
SO-2503-33552,バッテリー,ジャンピング
SO-2503-33574,エンスト,レッカー
SO-2503-33659,その他,レッカー
SO-2503-33683,バッテリー,バッテリー販売
SO-2503-33701,パンク,エア補充
SO-2503-33873,事故,"追衝突の引き出し,レッカー"
